,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
217,"frozenset({'Netflix', 'Youtube'})",frozenset({'Android'}),0.65625,0.875,0.5625,0.8571428571428571,0.9795918367346939,-0.01171875,0.8749999999999997
218,"frozenset({'Netflix', 'Android'})",frozenset({'Youtube'}),0.59375,0.90625,0.5625,0.9473684210526315,1.0453720508166968,0.0244140625,1.7812499999999982
219,"frozenset({'Antivírus', 'Backup'})",frozenset({'Android'}),0.25,0.875,0.21875,0.875,1.0,0.0,1.0
220,"frozenset({'Banco', 'Antivírus'})",frozenset({'Android'}),0.28125,0.875,0.25,0.8888888888888888,1.0158730158730158,0.00390625,1.1249999999999996
221,"frozenset({'Antivírus', 'Android'})",frozenset({'Banco'}),0.3125,0.875,0.25,0.8,0.9142857142857144,-0.0234375,0.6250000000000001
222,"frozenset({'Antivírus', 'Android'})",frozenset({'Compras'}),0.3125,0.9375,0.3125,1.0,1.0666666666666667,0.01953125,inf
223,"frozenset({'Antivírus', 'Compras'})",frozenset({'Android'}),0.34375,0.875,0.3125,0.9090909090909091,1.0389610389610389,0.01171875,1.3749999999999996
224,frozenset({'Antivírus'}),"frozenset({'Android', 'Compras'})",0.34375,0.84375,0.3125,0.9090909090909091,1.0774410774410774,0.0224609375,1.7187499999999993
225,"frozenset({'Não uso nenhum desses/Não viajo', 'Antivírus'})",frozenset({'Android'}),0.25,0.875,0.21875,0.875,1.0,0.0,1.0
226,"frozenset({'Antivírus', 'Não utilizo meu smartphone para nenhum dos serviços acima'})",frozenset({'Android'}),0.21875,0.875,0.21875,1.0,1.1428571428571428,0.02734375,inf
227,"frozenset({'Não utilizo nenhum desses apps de delivery', 'Antivírus'})",frozenset({'Android'}),0.3125,0.875,0.3125,1.0,1.1428571428571428,0.0390625,inf
228,"frozenset({'Antivírus', 'Android'})",frozenset({'Não utilizo nenhum desses apps de delivery'}),0.3125,0.65625,0.3125,1.0,1.5238095238095237,0.107421875,inf
